EI-10201A,LIC10201,FIC-10203,FIC-10101,TI-11701,PDIC-10102,LIC-10101,TI-10403,PIC-10201,PIC-10101,FI-10302
12.79262,167.0084,61.89213,62.90615,34.2,0.0561,171.6321,206.6,1.289787,1.399919,62.89977
12.7872,166.8977,61.97109,63.02195,34.2,0.056,171.546,206.6,1.290221,1.400895,63.66472
12.76224,166.9161,61.81802,62.82331,34.2,0.0561,171.5337,206.6,1.291089,1.401329,63.07337
12.77526,166.9161,61.91188,63.00543,34.2,0.0559,171.4353,206.6,1.291849,1.400787,62.73701
12.76007,166.9223,61.96616,63.05088,34.3,0.0561,171.6075,206.6,1.291198,1.402414,62.95945
12.76441,166.9223,61.93655,63.1458,34.2,0.0557,171.546,206.6,1.291632,1.400895,62.76956
12.77851,166.9284,61.76361,62.94754,34.2,0.0561,171.6198,206.6,1.290004,1.399593,62.91062
12.78611,166.9469,61.58522,62.71544,34.2,0.0552,171.5337,206.6,1.29033,1.400895,62.4983
12.77526,166.8977,61.71906,62.67391,34.2,0.0563,171.5952,206.6,1.290221,1.400787,62.66648
12.77309,166.9592,61.63978,62.69053,34.2,0.0561,171.669,206.6,1.29033,1.401438,62.34097
12.76766,167.0145,62.01545,62.84403,34.2,0.0558,171.6321,206.5,1.29033,1.400353,63.04625
12.76441,166.9653,62.02039,63.16641,34.2,0.0554,171.6382,206.5,1.290655,1.40198,63.17645
12.76441,166.8731,61.77351,62.65728,34.2,0.056,171.5952,206.5,1.291306,1.401438,62.55798
12.78611,166.7993,62.16804,63.19114,34.2,0.0561,171.5952,206.5,1.291198,1.401221,63.17103
12.78069,166.8977,61.58522,62.68637,34.2,0.056,171.5276,206.5,1.291198,1.401221,62.91062
12.76441,166.8854,61.42123,62.35315,34.2,0.0554,171.5706,206.5,1.290547,1.401546,62.86179
12.77743,166.8854,61.87238,62.99717,34.2,0.0558,171.5153,206.6,1.290547,1.400353,62.3464
12.77851,166.8669,61.98588,63.08804,34.2,0.056,171.5644,206.6,1.291849,1.401438,63.26868
12.76766,166.7378,61.76361,62.52831,34.2,0.0561,171.6013,206.6,1.291089,1.402089,62.06429
12.77092,166.8731,61.94642,63.03022,34.2,0.0564,171.6198,206.6,1.290655,1.401763,63.11678
12.78394,166.9223,61.95629,63.00956,34.2,0.0556,171.5337,206.6,1.291849,1.402089,62.61223
12.76658,166.8731,61.68439,62.7362,34.2,0.0556,171.5767,206.6,1.291198,1.401329,62.85094
12.76224,166.8362,61.74382,62.93512,34.2,0.0558,171.503,206.6,1.291198,1.401004,63.26326
12.76658,166.8731,61.76856,62.7694,34.2,0.0561,171.5644,206.6,1.290221,1.401546,62.63936
12.76658,166.8854,61.7933,63.02195,34.2,0.0554,171.4538,206.6,1.29033,1.401221,62.29214
12.77851,166.8977,61.81308,63.21587,34.2,0.0557,171.5091,206.6,1.290764,1.401546,62.85094
12.79805,166.8977,61.54551,62.6365,34.2,0.0559,171.5153,206.6,1.290547,1.401438,63.29038
12.79805,166.8669,61.76361,63.00543,34.2,0.0557,171.5337,206.6,1.290655,1.400136,63.06252
12.78937,166.8423,61.57033,62.73205,34.2,0.0556,171.4169,206.6,1.29033,1.400895,62.81839
12.78286,166.9161,61.55047,62.53248,34.2,0.0551,171.6013,206.6,1.28957,1.400353,62.44405
12.78177,166.9284,61.54551,62.77355,34.2,0.0559,171.589,206.6,1.291089,1.40198,62.87264
12.78286,166.8546,62.08442,63.27351,34.2,0.0559,171.546,206.6,1.291089,1.402306,62.4766
12.78937,166.8669,61.6943,62.92685,34.2,0.0563,171.546,206.6,1.291849,1.401546,62.57426
12.78937,166.8423,61.87238,63.12105,34.2,0.056,171.5706,206.6,1.290872,1.401438,62.72616
12.78611,166.8608,61.59514,62.78184,34.2,0.056,171.6874,206.6,1.291306,1.401221,62.73701
12.78937,166.8608,61.87238,63.05914,34.2,0.056,171.5952,206.6,1.291198,1.400461,62.57426
